ds,yhat,yhat_lower,yhat_upper,category
2016-10-04,0.16039534620992701,-12.392039147924319,11.667857867010659,bed_bath_table
2016-10-05,-0.392133392945766,-13.218343847456635,13.112193207759086,bed_bath_table
2016-10-06,-1.328701298145657,-13.779860649441655,11.982479372823292,bed_bath_table
2016-10-09,-3.724274017657933,-16.874951141736204,9.915906992196355,bed_bath_table
2017-01-08,1.7004040526410753,-11.472420225956265,14.877370567117138,bed_bath_table
2017-01-10,6.002356344999369,-7.3339412954810586,18.757139164764123,bed_bath_table
2017-01-13,3.5434013584254096,-9.150525968470895,16.760116505497418,bed_bath_table
2017-01-15,2.117686981130086,-10.529656157818787,15.120972343230267,bed_bath_table
2017-01-17,6.41963927348368,-5.802575044965599,19.414753626055983,bed_bath_table
2017-01-18,5.867110534325735,-7.9720450093289275,18.90798458685397,bed_bath_table
2017-01-19,4.93054262912753,-8.490926888519779,17.75546537952928,bed_bath_table
2017-01-20,3.960684286910369,-9.196657411501784,17.81656372011378,bed_bath_table
2017-01-21,1.5793548690863313,-10.322535846002447,13.033068680597912,bed_bath_table
2017-01-22,2.5349699095989955,-10.13681387133467,16.463490033692736,bed_bath_table
2017-01-23,6.708337013824536,-5.593239292149376,19.054286865812983,bed_bath_table
2017-01-24,6.8369222019677185,-6.035280294020961,20.460585659253905,bed_bath_table
2017-01-25,6.284393462810595,-6.724554544659951,19.647579209550045,bed_bath_table
2017-01-26,5.347825557611377,-8.468690480950197,17.827962354428777,bed_bath_table
2017-01-27,4.37796721539788,-8.611839005907171,17.38116453070884,bed_bath_table
2017-01-28,1.9966377975682343,-11.574830356471548,14.267058953721532,bed_bath_table
2017-01-29,2.9522528300449613,-10.146509570157079,14.931440173051962,bed_bath_table
2017-01-30,7.125619926225641,-6.0383710548956815,20.766073065030398,bed_bath_table
2017-01-31,7.254205106322894,-4.958401151874352,20.860353999473833,bed_bath_table
2017-02-01,6.701676359123359,-5.912463749081667,19.23433927238912,bed_bath_table
2017-02-02,5.765108445883074,-7.640045304902859,18.700968080157423,bed_bath_table
2017-02-03,4.795250095622034,-8.584814476017307,17.938579090875628,bed_bath_table
2017-02-04,2.4139206697514775,-9.940931438090166,15.868434948940461,bed_bath_table
2017-02-05,3.369535702230408,-9.684152455768388,15.86673371382996,bed_bath_table
2017-02-06,7.542902798404539,-5.785868683869266,19.32242831682567,bed_bath_table
2017-02-07,7.671487978507679,-5.713071912742954,19.517244046419943,bed_bath_table
2017-02-08,7.118959231308805,-6.292955394770959,19.907164111091838,bed_bath_table
2017-02-09,6.182391318064864,-7.04894387236416,19.804067310167415,bed_bath_table
2017-02-10,5.2125329678031465,-7.7459666154904605,18.341801146127093,bed_bath_table
2017-02-11,2.831203541932065,-9.818681637441623,15.880656911898994,bed_bath_table
2017-02-12,3.786818574411428,-8.753706147874263,17.198381871301056,bed_bath_table
2017-02-13,7.96018567059182,-5.041556417615001,20.607207579046758,bed_bath_table
2017-02-14,8.088770850690402,-4.673724638951731,21.207910618183725,bed_bath_table
2017-02-15,7.536242103490535,-5.998680542737594,20.381266926983745,bed_bath_table
2017-02-16,6.599674190248566,-5.8131844158680055,19.330835774522114,bed_bath_table
2017-02-17,5.629815840405801,-6.527989568544577,20.124857442496776,bed_bath_table
2017-02-18,3.2484864149456234,-10.185134641553393,15.794716826774037,bed_bath_table
2017-02-19,4.204101447840897,-8.551969402940955,16.750832532766122,bed_bath_table
2017-02-20,8.377468544431995,-4.170383391211193,21.73786106968022,bed_bath_table
2017-02-21,8.506053724942747,-5.203709108985789,21.4956109667794,bed_bath_table
2017-02-22,7.953524978159525,-4.536600513823008,21.705218251475653,bed_bath_table
2017-02-23,7.016957065328564,-5.4888591345057165,20.399825474518202,bed_bath_table
2017-02-24,6.0470987154818445,-6.767323608471543,18.489566079453674,bed_bath_table
2017-02-25,3.6657692900314567,-9.636710901770291,17.3002848519665,bed_bath_table
2017-02-26,4.6213843229215605,-8.172394220836795,18.631013942161058,bed_bath_table
2017-02-27,8.794751419515343,-3.9120692005441664,22.392373353332392,bed_bath_table
2017-02-28,8.923336600025273,-4.11837022131464,21.77380414332854,bed_bath_table
2017-03-01,8.37080785323963,-4.860038223380284,21.45718792091459,bed_bath_table
2017-03-02,7.434239940407821,-5.951314072062827,21.7790933416189,bed_bath_table
2017-03-03,6.464381590562956,-7.58674814390687,18.800098908201885,bed_bath_table
2017-03-04,4.083052165112168,-8.95790542245796,16.9311903498748,bed_bath_table
2017-03-05,5.038667198000051,-7.516625271431025,18.223983238673547,bed_bath_table
2017-03-06,9.21203429459171,-3.126885005872905,22.029367884460264,bed_bath_table
2017-03-07,9.34061947510725,-4.545362172998818,23.246373525684493,bed_bath_table
2017-03-08,8.78809073255971,-4.3536779532784475,21.688790735739172,bed_bath_table
2017-03-09,7.851522823970848,-4.572679290937395,21.424627221621538,bed_bath_table
2017-03-10,6.88166447836146,-5.221831265239923,19.31539053552471,bed_bath_table
2017-03-11,4.500335057152588,-9.388204968042498,17.046498122266424,bed_bath_table
2017-03-12,5.455950094282836,-7.1576891825885145,18.109110414270155,bed_bath_table
2017-03-13,9.629317195113503,-3.6953880843169937,22.802760989906098,bed_bath_table
2017-03-14,9.757902379867536,-4.002992811094999,22.690767837972366,bed_bath_table
2017-03-15,9.205373637319633,-2.513335177823436,21.893903280666905,bed_bath_table
2017-03-16,8.268805728730667,-5.436788920468215,20.5367309527801,bed_bath_table
2017-03-17,7.298947383127476,-5.989993124260719,20.562644802253644,bed_bath_table
2017-03-18,4.917617961913114,-6.732847638294719,17.91474647537032,bed_bath_table
2017-03-19,5.873232999045569,-6.5845166417508345,19.078699198798823,bed_bath_table
2017-03-20,10.046600099878072,-3.3704697854871903,22.800275765720095,bed_bath_table
2017-03-21,10.175185284629336,-2.8323983319033683,24.325969167972847,bed_bath_table
2017-03-22,9.62265654208237,-3.9790253337861956,22.058920887893088,bed_bath_table
2017-03-23,8.686088633491654,-3.8758608388136078,21.080868432043708,bed_bath_table
2017-03-24,7.716230287888425,-5.35940323258892,21.780242828170504,bed_bath_table
2017-03-25,5.334900866670991,-7.527360113175079,17.54906169433616,bed_bath_table
2017-03-26,6.290515903808303,-6.654827169578053,18.373121334884917,bed_bath_table
2017-03-27,10.463883025879088,-2.986922331513006,23.14920311423533,bed_bath_table
2017-03-28,10.592468231879284,-2.6699241842892794,23.75701986795605,bed_bath_table
2017-03-29,10.03993951057679,-2.961788969720472,22.67987654157171,bed_bath_table
2017-03-30,9.10337162323197,-4.111464923384678,21.86637023436349,bed_bath_table
2017-03-31,8.133513298870986,-4.003181193247865,20.813786163630713,bed_bath_table
2017-04-01,5.75218389890564,-7.464003319047974,18.214942029091613,bed_bath_table
2017-04-02,6.707798957280438,-6.482643537564771,20.62454740528345,bed_bath_table
2017-04-03,10.881166079356083,-2.7768743921953365,24.098897849326704,bed_bath_table
2017-04-04,11.009751285353124,-1.0937152518856186,24.344605221278236,bed_bath_table
2017-04-05,10.45722256405145,-2.107876529420803,22.99840213952746,bed_bath_table
2017-04-06,9.520654676706783,-2.5807215146000115,22.563822074072792,bed_bath_table
2017-04-07,8.550796352348296,-4.819873709992216,21.735899995960246,bed_bath_table
2017-04-08,6.169466952377342,-6.732808165639938,19.41753952759051,bed_bath_table
2017-04-09,7.125082010756998,-5.337832963406427,19.305388754654018,bed_bath_table
2017-04-10,11.298449132827496,-1.071095412778818,24.04249852191457,bed_bath_table
2017-04-11,11.42703433882696,-1.6570542211157304,24.00943556378221,bed_bath_table
2017-04-12,10.874505617526193,-2.3142639115561314,23.756192300981144,bed_bath_table
2017-04-13,9.93793773018043,-3.7759793001304134,22.503527099439417,bed_bath_table
2017-04-14,8.968079405823055,-4.454968590622664,21.681828641303575,bed_bath_table
2017-04-15,6.586750006566362,-7.317024602809856,19.414179591750592,bed_bath_table
2017-04-16,7.542365065665136,-5.442988828218017,20.977768035042573,bed_bath_table
2017-04-17,11.715732188442898,-2.100665284515661,25.05770555497203,bed_bath_table
2017-04-18,11.84431739516151,-0.7235276403514272,24.391486809509047,bed_bath_table
2017-04-19,11.29178867457417,-0.71182461440458,24.59774797917879,bed_bath_table
2017-04-20,10.355220787945873,-2.755710331703539,23.650527283567413,bed_bath_table
2017-04-21,9.385362464300453,-4.060341569595475,21.97357349410149,bed_bath_table
2017-04-22,7.004033065043357,-5.518868961040132,19.980539549439094,bed_bath_table
2017-04-23,7.959648124135411,-6.553592951414332,20.05801757719449,bed_bath_table
2017-04-24,12.13301524692253,-0.4820140824168814,25.14160644606886,bed_bath_table
2017-04-25,12.26160045363826,-0.8435072431831443,25.15654230459299,bed_bath_table
2017-04-26,11.70907173305056,-1.7549194469000935,24.32153598371951,bed_bath_table
2017-04-27,10.772503846421417,-1.818518741220784,24.367479965960577,bed_bath_table
2017-04-28,9.802645522780406,-3.207768377716459,22.760398958551217,bed_bath_table
2017-04-29,7.421316123522823,-6.624691707984811,19.295373661155285,bed_bath_table
2017-04-30,8.37693118261686,-3.6866653912217098,21.085392905055173,bed_bath_table
2017-05-01,12.550298305402164,-0.19412914739008047,26.12501664334336,bed_bath_table
2017-05-02,12.678883512115013,-0.8638088100033283,26.429987451687087,bed_bath_table
2017-05-03,12.126354791526948,-1.1050420473183056,25.098327520995046,bed_bath_table
2017-05-04,11.189786895935725,-2.397128389068506,24.530827828463977,bed_bath_table
2017-05-05,10.219928563323672,-3.1000966115225066,23.146288155956398,bed_bath_table
2017-05-06,7.838599155099768,-4.734855285820943,20.295628175962133,bed_bath_table
2017-05-07,8.794214205223941,-4.4104869783242755,22.261696256560707,bed_bath_table
2017-05-08,12.967581319051405,0.22725191846045004,26.10351449182063,bed_bath_table
2017-05-09,13.096166516798759,-0.02691960907320955,25.5442876850406,bed_bath_table
2017-05-10,12.543637787244652,0.05231170998782443,25.11499977736738,bed_bath_table
2017-05-11,11.607069891650678,-1.8836011428891528,24.18313697544418,bed_bath_table
2017-05-12,10.637211559037947,-2.580270209769535,24.0202732258602,bed_bath_table
2017-05-13,8.25588215081352,-5.131829921487277,21.467643662077585,bed_bath_table
2017-05-14,9.211497200938126,-4.174831529040139,22.374374825544653,bed_bath_table
2017-05-15,13.38486431476627,0.1950211759005858,26.727115455626844,bed_bath_table
2017-05-16,13.513449512514647,0.2948091686163863,25.90324635965644,bed_bath_table
2017-05-17,12.96092078296136,1.0844210203198184,25.843216840925873,bed_bath_table
2017-05-18,12.024352887367542,-1.4562755573342407,23.956203351758294,bed_bath_table
2017-05-19,11.054494554754754,-3.004306590383573,25.165999956077727,bed_bath_table
2017-05-20,8.673165146532394,-4.434161129185229,20.73718656327339,bed_bath_table
2017-05-21,9.628780196656738,-3.0479597152195854,22.32928960184779,bed_bath_table
2017-05-22,13.802147310483914,0.7206586760378463,27.02310330617887,bed_bath_table
2017-05-23,13.930732511758594,1.213201718640831,27.63869449922933,bed_bath_table
2017-05-24,13.378203785734273,0.10583455981636107,26.4966178095916,bed_bath_table
2017-05-25,12.441635893667412,-0.2900361782012143,25.930977966697633,bed_bath_table
2017-05-26,11.471777564583817,-2.1086560629692936,24.25666636522105,bed_bath_table
2017-05-27,9.090448159889092,-4.022829101957988,23.440366409594365,bed_bath_table
2017-05-28,10.046063213543697,-3.045752022460277,22.588117378180996,bed_bath_table
2017-05-29,14.219430330899366,0.7061389935975675,28.283724253661145,bed_bath_table
2017-05-30,14.34801553217116,1.7414004476089004,27.96125200299679,bed_bath_table
2017-05-31,13.795486806149292,0.9912710400113848,27.25987740263814,bed_bath_table
2017-06-01,12.858918914080682,0.8118610848401593,25.81831951092711,bed_bath_table
2017-06-02,11.889060584997033,-0.6585277749049817,24.81781981764684,bed_bath_table
2017-06-03,9.507731180307028,-3.3599389199899297,21.849088272607474,bed_bath_table
2017-06-04,10.463346233958713,-2.4437851747678545,23.130555194566554,bed_bath_table
2017-06-05,14.636713351307833,1.5639070258895298,27.68988469322542,bed_bath_table
2017-06-06,14.765298552585245,1.5628154630285953,27.807978957510105,bed_bath_table
