ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-09-15,-12.604759216,-85.40510973269232,72.15473118838395,-12.604759216,-12.604759216,7.164569184996073,7.164569184996073,7.164569184996073,7.164569184996073,7.164569184996073,7.164569184996073,0.0,0.0,0.0,-5.440190031003927
2016-10-03,-4.327797216869564,-60.27038545737117,94.8462333199556,-4.327797216869564,-4.327797216869564,21.636488223415586,21.636488223415586,21.636488223415586,21.636488223415586,21.636488223415586,21.636488223415586,0.0,0.0,0.0,17.30869100654602
2016-10-04,-3.8679659946956524,-58.85377112728944,87.81823047998095,-3.8679659946956524,-3.8679659946956524,19.320975719630095,19.320975719630095,19.320975719630095,19.320975719630095,19.320975719630095,19.320975719630095,0.0,0.0,0.0,15.453009724934443
2016-10-05,-3.408134772521738,-65.92934563127041,85.12168630843674,-3.408134772521738,-3.408134772521738,14.139579247713133,14.139579247713133,14.139579247713133,14.139579247713133,14.139579247713133,14.139579247713133,0.0,0.0,0.0,10.731444475191395
2016-10-06,-2.948303550347826,-71.3427022075123,81.22129727422936,-2.948303550347826,-2.948303550347826,7.164569185004628,7.164569185004628,7.164569185004628,7.164569185004628,7.164569185004628,7.164569185004628,0.0,0.0,0.0,4.216265634656802
2016-10-07,-2.4884723281739136,-79.27745720672766,70.04346731558056,-2.4884723281739136,-2.4884723281739136,-0.8780983364071148,-0.8780983364071148,-0.8780983364071148,-0.8780983364071148,-0.8780983364071148,-0.8780983364071148,0.0,0.0,0.0,-3.3665706645810283
2016-10-08,-2.0286411059999994,-118.80621756590381,40.38145361864459,-2.0286411059999994,-2.0286411059999994,-36.76061758333042,-36.76061758333042,-36.76061758333042,-36.76061758333042,-36.76061758333042,-36.76061758333042,0.0,0.0,0.0,-38.789258689330424
2016-10-09,-1.568809883826087,-105.57835681832964,51.65269736336228,-1.568809883826087,-1.568809883826087,-24.622896455918458,-24.622896455918458,-24.622896455918458,-24.622896455918458,-24.622896455918458,-24.622896455918458,0.0,0.0,0.0,-26.191706339744545
2016-10-10,-1.1089786616521748,-54.76382645352463,95.40863394104225,-1.1089786616521748,-1.1089786616521748,21.636488223356363,21.636488223356363,21.636488223356363,21.636488223356363,21.636488223356363,21.636488223356363,0.0,0.0,0.0,20.52750956170419
2016-12-23,32.91853177921739,-40.8012412469636,107.54847596386938,32.91853177921739,32.91853177921739,-0.8780983363928414,-0.8780983363928414,-0.8780983363928414,-0.8780983363928414,-0.8780983363928414,-0.8780983363928414,0.0,0.0,0.0,32.04043344282455
2017-01-05,38.896337667478264,-35.223467412009825,118.57046739959843,38.896337667478264,38.896337667478264,7.16456918500593,7.16456918500593,7.16456918500593,7.16456918500593,7.16456918500593,7.16456918500593,0.0,0.0,0.0,46.060906852484194
2017-01-06,39.356168889652174,-33.04744171012402,115.0228488038724,39.356168889652174,39.356168889652174,-0.8780983363875895,-0.8780983363875895,-0.8780983363875895,-0.8780983363875895,-0.8780983363875895,-0.8780983363875895,0.0,0.0,0.0,38.47807055326459
2017-01-07,39.816000111826085,-73.47758083367447,75.30136139582643,39.816000111826085,39.816000111826085,-36.760617583321796,-36.760617583321796,-36.760617583321796,-36.760617583321796,-36.760617583321796,-36.760617583321796,0.0,0.0,0.0,3.055382528504289
2017-01-08,40.275831334,-66.08568173904223,91.28306684139896,40.275831334,40.275831334,-24.62289645597336,-24.62289645597336,-24.62289645597336,-24.62289645597336,-24.62289645597336,-24.62289645597336,0.0,0.0,0.0,15.652934878026642
2017-01-09,40.735662556173914,-15.4968735899355,143.68280428306403,40.735662556173914,40.735662556173914,21.636488223398885,21.636488223398885,21.636488223398885,21.636488223398885,21.636488223398885,21.636488223398885,0.0,0.0,0.0,62.3721507795728
2017-01-10,41.195493778347824,-14.542307145880219,136.22647128057247,41.195493778347824,41.195493778347824,19.320975719640547,19.320975719640547,19.320975719640547,19.320975719640547,19.320975719640547,19.320975719640547,0.0,0.0,0.0,60.51646949798837
2017-01-11,41.65532500052174,-21.104207110335533,131.90790070624317,41.65532500052174,41.65532500052174,14.139579247710953,14.139579247710953,14.139579247710953,14.139579247710953,14.139579247710953,14.139579247710953,0.0,0.0,0.0,55.7949042482327
2017-01-12,42.11515622269565,-33.9518527354505,127.9996879154368,42.11515622269565,42.11515622269565,7.164569185007876,7.164569185007876,7.164569185007876,7.164569185007876,7.164569185007876,7.164569185007876,0.0,0.0,0.0,49.27972540770353
2017-01-13,42.57498744486956,-35.19575273002375,112.40967566321318,42.57498744486956,42.57498744486956,-0.878098336417906,-0.878098336417906,-0.878098336417906,-0.878098336417906,-0.878098336417906,-0.878098336417906,0.0,0.0,0.0,41.69688910845166
2017-01-14,43.03481866704348,-72.92660098134957,85.60465662998743,43.03481866704348,43.03481866704348,-36.760617583361444,-36.760617583361444,-36.760617583361444,-36.760617583361444,-36.760617583361444,-36.760617583361444,0.0,0.0,0.0,6.274201083682037
2017-01-15,43.49464988921739,-58.08446432941082,96.54692864714495,43.49464988921739,43.49464988921739,-24.622896455918085,-24.622896455918085,-24.622896455918085,-24.622896455918085,-24.622896455918085,-24.622896455918085,0.0,0.0,0.0,18.871753433299308
2017-01-16,43.954481134101876,-12.604214788957659,141.35902013093929,43.954481134101876,43.954481134101876,21.636488223366456,21.636488223366456,21.636488223366456,21.636488223366456,21.636488223366456,21.636488223366456,0.0,0.0,0.0,65.59096935746834
2017-01-17,44.41431237898637,-7.20143820604861,150.29303811091486,44.41431237898637,44.41431237898637,19.320975719640714,19.320975719640714,19.320975719640714,19.320975719640714,19.320975719640714,19.320975719640714,0.0,0.0,0.0,63.73528809862708
2017-01-18,44.87414362387086,-14.833871531793617,135.4307559247507,44.87414362387086,44.87414362387086,14.139579247707614,14.139579247707614,14.139579247707614,14.139579247707614,14.139579247707614,14.139579247707614,0.0,0.0,0.0,59.01372287157847
2017-01-19,45.33397486875535,-29.62291200771243,127.61124840334975,45.33397486875535,45.33397486875535,7.16456918501254,7.16456918501254,7.16456918501254,7.16456918501254,7.16456918501254,7.16456918501254,0.0,0.0,0.0,52.49854405376789
2017-01-20,45.79380611363984,-30.83531497982688,124.26474223435149,45.79380611363984,45.79380611363984,-0.878098336420143,-0.878098336420143,-0.878098336420143,-0.878098336420143,-0.878098336420143,-0.878098336420143,0.0,0.0,0.0,44.915707777219694
2017-01-21,46.25363735852433,-64.04117919866273,82.40744248519432,46.25363735852433,46.25363735852433,-36.76061758329628,-36.76061758329628,-36.76061758329628,-36.76061758329628,-36.76061758329628,-36.76061758329628,0.0,0.0,0.0,9.49301977522805
2017-01-22,46.71346860340882,-50.5488900078999,100.05548277781257,46.71346860340882,46.71346860340882,-24.622896456124625,-24.622896456124625,-24.622896456124625,-24.622896456124625,-24.622896456124625,-24.622896456124625,0.0,0.0,0.0,22.090572147284195
2017-01-23,47.17329984829331,-10.324689439134486,143.94045387975825,47.17329984829331,47.17329984829331,21.636488223394526,21.636488223394526,21.636488223394526,21.636488223394526,21.636488223394526,21.636488223394526,0.0,0.0,0.0,68.80978807168783
2017-01-24,47.6331310931778,-10.030964788991179,143.9578488194279,47.6331310931778,47.6331310931778,19.320975719626592,19.320975719626592,19.320975719626592,19.320975719626592,19.320975719626592,19.320975719626592,0.0,0.0,0.0,66.9541068128044
2017-01-25,48.09296233806229,-15.360781493644701,139.72735520216258,48.09296233806229,48.09296233806229,14.139579247704274,14.139579247704274,14.139579247704274,14.139579247704274,14.139579247704274,14.139579247704274,0.0,0.0,0.0,62.23254158576657
2017-01-26,48.55279358294678,-18.30369379454413,135.645641079218,48.55279358294678,48.55279358294678,7.164569184998334,7.164569184998334,7.164569184998334,7.164569184998334,7.164569184998334,7.164569184998334,0.0,0.0,0.0,55.71736276794511
2017-01-27,49.012624827831274,-24.083595415966812,123.69580909857217,49.012624827831274,49.012624827831274,-0.87809833638458,-0.87809833638458,-0.87809833638458,-0.87809833638458,-0.87809833638458,-0.87809833638458,0.0,0.0,0.0,48.13452649144669
2017-01-28,49.472456072715765,-65.1143709241135,89.06911955626718,49.472456072715765,49.472456072715765,-36.76061758333593,-36.76061758333593,-36.76061758333593,-36.76061758333593,-36.76061758333593,-36.76061758333593,0.0,0.0,0.0,12.711838489379836
2017-01-29,49.932287317600256,-50.214597450472446,105.81802280657519,49.932287317600256,49.932287317600256,-24.622896456069352,-24.622896456069352,-24.622896456069352,-24.622896456069352,-24.622896456069352,-24.622896456069352,0.0,0.0,0.0,25.309390861530904
2017-01-30,50.39211856248474,-4.783261396385506,146.0586323918676,50.39211856248474,50.39211856248474,21.636488223422596,21.636488223422596,21.636488223422596,21.636488223422596,21.636488223422596,21.636488223422596,0.0,0.0,0.0,72.02860678590733
2017-01-31,50.85194980736923,-5.858039622960894,143.08365839843975,50.85194980736923,50.85194980736923,19.320975719626762,19.320975719626762,19.320975719626762,19.320975719626762,19.320975719626762,19.320975719626762,0.0,0.0,0.0,70.172925526996
2017-02-01,51.31178105225373,-5.235810790004189,144.2497249096828,51.31178105225373,51.31178105225373,14.139579247710262,14.139579247710262,14.139579247710262,14.139579247710262,14.139579247710262,14.139579247710262,0.0,0.0,0.0,65.451360299964
2017-02-02,51.77161229713821,-23.008713005955077,135.60044899140897,51.77161229713821,51.77161229713821,7.164569185019149,7.164569185019149,7.164569185019149,7.164569185019149,7.164569185019149,7.164569185019149,0.0,0.0,0.0,58.93618148215736
2017-02-03,52.23144354202271,-26.679701293114565,123.86960117953558,52.23144354202271,52.23144354202271,-0.8780983364148975,-0.8780983364148975,-0.8780983364148975,-0.8780983364148975,-0.8780983364148975,-0.8780983364148975,0.0,0.0,0.0,51.35334520560781
2017-02-04,52.69127478817924,-56.53639859305848,94.89995499349307,52.69127478817924,52.69127478817924,-36.760617583341144,-36.760617583341144,-36.760617583341144,-36.760617583341144,-36.760617583341144,-36.760617583341144,0.0,0.0,0.0,15.930657204838099
