ds,yhat,yhat_lower,yhat_upper,category
2016-10-04,0.16731965716273445,-12.392602251651827,14.399546224173378,bed_bath_table
2016-10-05,-0.38550316169794097,-12.42720275209819,13.74987068372272,bed_bath_table
2016-10-06,-1.3221687054114586,-14.369694033872925,12.527076191866882,bed_bath_table
2016-10-09,-3.7172572974604083,-16.425263468482186,9.012707305874411,bed_bath_table
2017-01-08,1.706465233444661,-11.386029321037157,14.509450814639495,bed_bath_table
2017-01-10,6.00825161352793,-7.4514394501962435,18.518392938697286,bed_bath_table
2017-01-13,3.54883888437141,-9.54818014078577,16.82716545352794,bed_bath_table
2017-01-15,2.123674658903369,-9.985343952808996,15.004399301851286,bed_bath_table
2017-01-17,6.4254610389819415,-7.123196656272369,19.39763906198774,bed_bath_table
2017-01-18,5.872638220119017,-6.714989230996239,19.61515738685411,bed_bath_table
2017-01-19,4.9359726764071805,-8.217696812096564,17.595112670926472,bed_bath_table
2017-01-20,3.966048309826064,-8.624388725999305,16.58609192198747,bed_bath_table
2017-01-21,1.5842642703244803,-11.82044806087574,14.882560225131053,bed_bath_table
2017-01-22,2.5408840843419767,-10.404976146107016,15.950874760944416,bed_bath_table
2017-01-23,6.713163205083791,-6.498634729305083,19.882042574973426,bed_bath_table
2017-01-24,6.842670464435676,-5.915232797289853,20.70328278206772,bed_bath_table
2017-01-25,6.289847645573571,-6.098008527794667,19.866428056520892,bed_bath_table
2017-01-26,5.353182101860728,-7.326062691371782,18.819206939956743,bed_bath_table
2017-01-27,4.383257735283273,-9.034305215237584,17.177820138088244,bed_bath_table
2017-01-28,2.00147369577608,-11.572774193805234,14.678991937955036,bed_bath_table
2017-01-29,2.9580935009601497,-11.120404552412078,15.5555199204147,bed_bath_table
2017-01-30,7.130372612859613,-4.894138087080309,20.156439846288368,bed_bath_table
2017-01-31,7.259879863368081,-6.513040711155432,19.994586268991263,bed_bath_table
2017-02-01,6.707057035666076,-6.380965037547908,19.875616029640156,bed_bath_table
2017-02-02,5.77039148311467,-6.566279922833002,20.144332069703967,bed_bath_table
2017-02-03,4.800467107692187,-8.021662072837294,17.58238353578254,bed_bath_table
2017-02-04,2.4186830593465922,-9.661051406434384,15.4975982649826,bed_bath_table
2017-02-05,3.375302864532864,-8.428561785222781,16.853922753241303,bed_bath_table
2017-02-06,7.54758197642578,-5.219725706578208,21.117908370840663,bed_bath_table
2017-02-07,7.677089226940133,-5.7000495703298775,20.35607493197435,bed_bath_table
2017-02-08,7.124266399238787,-5.770854424990963,19.32550139891667,bed_bath_table
2017-02-09,6.18760084668373,-7.215692397547173,19.62167361729676,bed_bath_table
2017-02-10,5.2176764712605666,-7.908304220117591,18.481549658467472,bed_bath_table
2017-02-11,2.8358924229144504,-9.724910205033375,15.415095221524082,bed_bath_table
2017-02-12,3.7925122281011534,-9.02465959651564,17.33790099159257,bed_bath_table
2017-02-13,7.964791340000328,-5.328504811630615,21.01545503390659,bed_bath_table
2017-02-14,8.094298590510125,-5.011101323466384,21.737315647005357,bed_bath_table
2017-02-15,7.5414757628077895,-6.275349139977132,21.198053441587366,bed_bath_table
2017-02-16,6.604810210254695,-6.497274710553837,19.50967340696463,bed_bath_table
2017-02-17,5.634885836332296,-7.373282184688271,18.57489012860288,bed_bath_table
2017-02-18,3.2531017894788947,-9.378496360370082,16.17335866679034,bed_bath_table
2017-02-19,4.20972159616332,-9.177384918522721,17.52773025256734,bed_bath_table
2017-02-20,8.382000709555014,-4.487958676197368,21.394440129852818,bed_bath_table
2017-02-21,8.511507961558788,-5.406945837537148,20.976175351529665,bed_bath_table
2017-02-22,7.958685135354907,-5.065664177313956,21.38408578848365,bed_bath_table
2017-02-23,7.0220195842946405,-5.464831022631155,20.488452207265816,bed_bath_table
2017-02-24,6.052095210368286,-6.531158275851011,18.902871400695744,bed_bath_table
2017-02-25,3.6703111635246675,-9.044996460790353,16.872841579114485,bed_bath_table
2017-02-26,4.626930970203926,-8.501313211459681,16.595673903080737,bed_bath_table
2017-02-27,8.799210083598306,-4.732203378091572,21.28541000412462,bed_bath_table
2017-02-28,8.92871733560126,-4.164288859632237,21.84244136466039,bed_bath_table
2017-03-01,8.375894509394957,-4.777568451584137,21.70988530664669,bed_bath_table
2017-03-02,7.439228958333843,-5.714551537838473,20.054397710854246,bed_bath_table
2017-03-03,6.46930458440934,-6.8505894872828375,18.568663434880484,bed_bath_table
2017-03-04,4.08752053756532,-8.99809270744948,16.265909119272255,bed_bath_table
2017-03-05,5.044140344242359,-7.874290520296,18.90219013091235,bed_bath_table
2017-03-06,9.216419457634611,-3.9240775344632444,22.146439472454887,bed_bath_table
2017-03-07,9.345926709643177,-3.708375452252803,22.85826014063597,bed_bath_table
2017-03-08,8.793103878120592,-4.773535859805968,21.729735370101434,bed_bath_table
2017-03-09,7.856438321748033,-5.863693180355218,20.762641038186924,bed_bath_table
2017-03-10,6.886513942504623,-5.638982658121024,19.846170757900293,bed_bath_table
2017-03-11,4.504729890348135,-8.147128127086598,17.682434594636746,bed_bath_table
2017-03-12,5.461349691713149,-7.95240897063244,19.96836865861352,bed_bath_table
2017-03-13,9.633628799790023,-3.4800728326525068,23.163627491502393,bed_bath_table
2017-03-14,9.763136046482693,-3.0226853470513113,23.25498258830382,bed_bath_table
2017-03-15,9.210313214959747,-4.405253419875081,22.093744135098873,bed_bath_table
2017-03-16,8.273647658587084,-5.14935812640861,20.6019490777562,bed_bath_table
2017-03-17,7.303723279349866,-5.710242863298913,20.178250018885265,bed_bath_table
2017-03-18,4.921939227187893,-8.523885685384483,18.95932702170762,bed_bath_table
2017-03-19,5.878559028555112,-7.464842397191732,19.282316180944647,bed_bath_table
2017-03-20,10.050838136633823,-3.2582070887708343,23.983874341057703,bed_bath_table
2017-03-21,10.180345383323719,-1.7650832043264522,22.071524189518094,bed_bath_table
2017-03-22,9.62752255180171,-3.137566303951867,22.20540575689196,bed_bath_table
2017-03-23,8.6908569954273,-3.756197061826207,21.412522199310597,bed_bath_table
2017-03-24,7.72093261619005,-5.308697748227894,19.867417771521346,bed_bath_table
